Wizards.mp3
true
Trans Siberian Orchestra - Wizards of Winter
Classic
124876	1,7,8	2,3,4,5,6	 Guitar Riff 2 [V1]
124966		8	
125043	8		 Guitar Riff 2
125133		8	
125598	2,6		 [VERSE 01]
125802	3,5	1,7	 [VERSE 01]
125968	4	2,6	 [VERSE 01]
126170	1,7	3,5	 [VERSE 01]
126382	2,6	4	 [VERSE 01]
126622	3,5	1,7	 [VERSE 01]
127178	4	2,6	 [VERSE 01]
127387	1,7	3,5	 [VERSE 01]
127579	2,6	4	 [VERSE 01]
127787	3,5	1,7	 [VERSE 01]
127991	4	2,6	 [VERSE 01]
128247	1,7	3,5	 [VERSE 01]
128839	2,6	4	 [VERSE 01]
129032	3,5	1,7	 [VERSE 01]
129658	4	2,6	 [VERSE 01]
129866	1,7	3,5	 [VERSE 01]
130261	2,6	4	 [VERSE 01]
130650	3,5	1,7	 [VERSE 01]
131032	4	2,6	 [VERSE 01]
131471	1,2	3,4,5,6,7,8	 [BRIDGE]
131581	3,4	1,2	
131691	5,6	3,4	
131850	7	5,6	 [BRIDGE]
131960	5,6	7	
132070	3,4	5,6	
132271	1,2	3,4,5	 [BRIDGE]
132381	3,4	1,2	
132491	5,6	3,4	
132657	7	5,6	 [BRIDGE]
132767	5,6	7	
132877	3,4	5,6	
133069	1,2	3,4,5	 [BRIDGE]
133179	3,4	1,2	
133289	5,6	3,4	
133475	7	5,6	 [BRIDGE]
133585	5,6	7	
133695	3,4	5,6	
133859	1,2	3,4,5	 [BRIDGE]
133969	3,4	1,2	
134079	5,6	3,4	
134280	7	5,6	 [BRIDGE]
134390	5,6	7	
134500	3,4	5,6	
134698	1,2	3,4,5	 [BRIDGE]
134808	3,4	1,2	
134918	5,6	3,4	
135071	7	5,6	 [BRIDGE]
135181	5,6	7	
135291	3,4	5,6	
135507	1,2	3,4,5	 [BRIDGE]
135617	3,4	1,2	
135727	5,6	3,4	
135901	7	5,6	 [BRIDGE]
136011	5,6	7	
